month,category,amount
Cycle 2 (12 Jul - 12 Aug 2026),Electricity,33000
Cycle 2 (12 Jul - 12 Aug 2026),Salary,70000
Cycle 2 (12 Jul - 12 Aug 2026),Staff meals,75000
